Site,Site2,Transect,Quadrat,Litbag,Lit,LitNum,Teabag,Tea,TeaNum,Julday1,Julday2,Julday3,Temp1,Temp2,Temp3,Moist1,Moist2,Moist3,VolMoist1,VolMoist2,VolMoist3,SOM,percNsoil,percCsoil,NOxinit,NH4init,Nitrif,Nmin,WHC,pH,TpH,Cmin1,Cmin2,Cmin,SIR,LitSIR,IncTime,TeaLoss,LitLoss,STeaLoss,SLitLoss,LitMoist,mLitMoist,LitlCloss,SLitCloss,LitNmin,SLitNmin,LitInitCN,LitFinCN,LitinitN,TeainitN
Uppsala,2,6,41,41,Hol,1,377,Green,1,128,174,226,8.5,NA,NA,57.96,NA,NA,NA,NA,NA,9.86,0.41,5.6,26.73,2.7,NA,NA,91.53,6.2,0.631,0.68,0.71,0.7,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.8,4.1
Uppsala,2,6,42,42,Hol,1,378,Green,1,128,174,226,8.2,13.3,14,49.26,49.91,42.6,NA,NA,NA,9.89,0.43,6.48,22.51,3.29,0.427,-0.129,77.34,6.17,0.676,0.68,0.74,0.71,1.82,154.95,98,64.98,51.3,59.68,47.11,75.1,66.3,50.86,46.71,0.578,0.612,24.65,20.74,1.97,4.09
Uppsala,2,7,43,43,Hol,1,379,Green,1,128,174,226,8.3,14.1,14.1,66.33,65.92,58.5,NA,NA,NA,13.22,0.41,6.14,19.67,2.18,-0.177,-0.093,100.14,6.48,0.331,NA,NA,NA,1.66,136.1,98,NA,51.1,NA,46.93,81.8,81.8,57.57,52.87,0.596,0.629,24.65,17.35,1.57,4.06
Uppsala,2,7,44,44,Hol,1,380,Green,1,128,174,226,9.2,15.2,14.9,60.58,58.51,51.74,NA,NA,NA,12.03,0.4,5.78,1.7,2.21,-0.109,-0.14,100.64,6.63,0.234,NA,NA,NA,1.66,96.07,98,68.17,43.98,62.6,40.39,77.1,64.2,46.69,42.88,0.663,0.69,24.65,19.63,1.86,3.9
Uppsala,2,7,45,45,Hol,1,381,Green,1,128,174,226,10,15.9,16.2,45.42,37.26,32.74,NA,NA,NA,11.01,0.37,5.17,8.1,8.32,0.483,-0.424,NA,6.56,0.275,NA,NA,NA,1.66,184.66,98,NA,34.3,NA,31.5,32.9,26.7,37.41,34.35,0.736,0.758,24.65,20.74,1.63,4.18
Uppsala,2,7,46,46,Hol,1,382,Green,1,128,174,226,10.4,14.9,16.8,44.08,40.25,32.41,NA,NA,NA,NA,0.38,4.98,3.27,2.58,-0.215,-0.113,83.18,6.78,0.166,NA,NA,NA,1.66,216.02,98,NA,43.96,NA,40.38,27.5,21.6,50.38,46.27,0.607,0.639,24.65,19.95,1.65,3.99
Uppsala,2,7,47,47,Hol,1,383,Green,1,128,174,226,11.5,16.2,15.8,46.03,48.76,39.6,NA,NA,NA,10.96,0.53,6.92,8.38,3.2,0.041,-0.153,85.92,7.26,0.055,NA,NA,NA,1.66,151.94,98,NA,41.95,NA,38.53,38.6,48,48.61,44.64,0.704,0.728,24.65,17.82,1.89,4.33
Uppsala,2,7,48,48,Hol,1,384,Green,1,128,174,226,12.4,16.8,15.3,49.28,43.21,40.77,NA,NA,NA,11.41,0.46,5.92,22.55,2.3,0.471,-0.013,92.89,6.64,0.229,NA,NA,NA,1.66,159.72,98,NA,41.65,NA,38.25,45.3,45.3,42.56,39.09,0.69,0.716,24.65,20.3,1.89,4.18
Uppsala,2,7,49,49,Hol,1,385,Green,1,128,174,226,11.3,NA,NA,44.27,NA,NA,NA,NA,NA,11.39,0.35,4.94,6.22,2.71,-0.302,-0.092,75.09,7.2,0.063,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.78,4.3
Uppsala,2,8,50,50,Hol,1,386,Green,1,128,174,226,11.3,14.7,15.3,29.67,22.16,12.76,NA,NA,NA,5.03,0.21,2.55,9.93,2.04,NA,NA,50.65,5.63,2.344,NA,NA,NA,1.67,187.09,98,60.68,40.93,55.73,37.59,18.4,18.5,42.89,39.39,0.708,0.732,24.65,19.68,1.62,4.29
Uppsala,2,8,51,51,Hol,1,387,Green,1,128,174,226,11.5,14.7,15.8,32.37,27.19,15.02,NA,NA,NA,5.99,0.24,3.39,10.15,0.99,0.265,-0.037,60,5.59,2.57,0.32,0.33,0.33,1.27,196.32,98,64.51,48.79,59.24,44.81,17.8,19.5,51.78,47.55,0.663,0.69,24.65,17.75,1.59,4.28
