id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at,updated_at
48,,Wakkerstroom,2,1,10,-27.355400000,30.140800000,,0.0000,,0.0000,0,0.038770330,0.533709525,105,2017-05-23,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
49,,Wakkerstroom,2,1,10,-27.355400000,30.140800000,,0.0000,,0.0000,0,0.009313840,0.075589688,88,2017-09-05,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
50,,Klipriviersberg,2,1,10,-26.289500000,28.011000000,,0.0000,,0.0000,0,0.021439764,0.682045928,91,2017-06-05,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
51,,Klipriviersberg,2,1,10,-26.289500000,28.011000000,,0.0000,,0.0000,0,0.009379495,0.084649182,87,2017-09-04,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
52,,"PdA LL R4",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.004788587,0.524427816,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
53,,"PdA LL R5",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.006282582,0.242010893,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
54,,"PdA LL R6",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.004948443,0.357812885,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
55,,"PdA PB NF10",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.000000000,0.924447234,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
56,,"PdA PB NF6",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.004806987,0.310977008,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
57,,"PdA PB NF7",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.003935560,0.703213237,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
58,,"PdA PB NF8",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.001463935,0.436601999,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
59,,"PdA PB NF9",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002252752,0.555024977,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
60,,"PdA PB SF1",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002424689,0.563434923,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
61,,"PdA PB SF2",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.001657679,0.511676150,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
62,,"PdA PB SF3",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002373002,0.528290921,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
63,,"PdA PB SF4",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.005169826,0.754880845,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
64,,"PdA PB SF5",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002886739,0.521590314,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
65,,"Ngodwana 1270m",2,2,7,-25.572000000,30.665900000,,0.0000,,0.0000,0,0.000000000,0.665362783,91,2017-06-07,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
66,,"Ngodwana 1270m",2,2,7,-25.572000000,30.665900000,,0.0000,,0.0000,0,0.012386956,0.665824305,86,2017-09-06,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
67,,"Ngodwana 932m",2,2,10,-25.329300000,30.393700000,,0.0000,,0.0000,0,0.011943594,0.686341496,91,2017-06-07,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
68,,"Ngodwana 932m",2,2,10,-25.329300000,30.393700000,,0.0000,,0.0000,0,0.011158433,0.190816202,86,2017-09-06,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
69,,Nylsvley,2,1,7,-24.645100000,28.684800000,,0.0000,,0.0000,0,0.005848915,0.704933972,93,2017-06-06,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
70,,Nylsvley,2,1,7,-24.645100000,28.684800000,,0.0000,,0.0000,0,0.009038444,0.230797632,86,2017-09-07,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
71,,"Wits Rural Facility",2,1,7,-24.566700000,31.098500000,,0.0000,,0.0000,0,0.005575450,0.497500035,92,2017-06-06,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
72,,"Wits Rural Facility",2,1,7,-24.566700000,31.098500000,,0.0000,,0.0000,0,0.009227283,0.228404558,86,2017-09-06,0,,"Tropical grasslands/shrubs","2023-10-12 09:43:57",,teatime
73,,"Pacaya-Samiria National Reserve",2,1,1,-4.700600000,-74.410300000,,0.0000,,0.0000,0,0.086839028,0.377458884,8,2018-07-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
74,,"Pacaya-Samiria National Reserve",2,1,1,-4.700600000,-74.410300000,,0.0000,,0.0000,0,0.010345322,0.264642536,14,2018-07-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
75,,"Pacaya-Samiria National Reserve",2,1,1,-4.700600000,-74.410300000,,0.0000,,0.0000,0,0.026197615,0.228746426,22,2018-07-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
76,,"Urban Planter Yim Po Fong",2,1,1,22.318200000,114.173400000,,0.0000,,0.0000,0,0.007061883,0.140544554,61,2017-12-07,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
77,,"Urban Forest Tsui Tin Street",2,1,1,22.370700000,114.183500000,,0.0000,,0.0000,0,0.053847424,0.065333656,58,2017-08-18,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
78,,"Urban Forest Tsui Tin Street",2,1,1,22.370700000,114.183500000,,0.0000,,0.0000,0,0.011361930,0.439678808,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
79,,"Urban Forest Yuen Chau Kok",2,1,0,22.382000000,114.198200000,,0.0000,,0.0000,0,0.022924992,0.193534051,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
80,,"Primary Forest Mui Tsz Lam",2,1,1,22.393200000,114.233200000,,0.0000,,0.0000,0,0.009301391,0.156498381,61,2017-12-07,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
81,,"Secondary Forest CUHK",2,1,0,22.417200000,114.204800000,,0.0000,,0.0000,0,0.014742782,0.311478414,61,2017-12-07,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
82,,"Farmland Ngo Dei",2,2,1,22.420500000,114.078100000,,0.0000,,0.0000,0,0.028716824,0.247663106,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
83,,"Secondary Forest Tai Po Kau",2,1,1,22.421800000,114.173900000,,0.0000,,0.0000,0,0.020871652,0.414038730,61,2017-12-07,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
84,,"Farmland Mapopo",2,2,1,22.502700000,114.143600000,,0.0000,,0.0000,0,0.000000000,0.584972589,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
85,,"Primary Forest Nam Chung",2,1,1,22.516500000,114.206800000,,0.0000,,0.0000,0,0.000000000,0.120032491,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
86,,"Primary Forest Luk Keng",2,1,1,22.521500000,114.216200000,,0.0000,,0.0000,0,0.027735671,-0.074832109,58,2017-08-18,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
87,,"Primary Forest Luk Keng",2,1,1,22.521500000,114.216200000,,0.0000,,0.0000,0,0.000000000,0.456772194,64,2017-11-28,0,,"Tropical moist forests","2023-10-12 09:43:57",,teatime
88,,"Termophilous tropical forest (1)",2,2,12,28.388000000,-16.579000000,,0.0000,,0.0000,0,0.008006794,0.085845719,87,2017-11-10,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
89,,"Termophilous tropical forest (1)",2,1,12,28.388000000,-16.579000000,,0.0000,,0.0000,0,0.008212746,0.290966351,87,2017-11-10,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
90,,"Location 24 (Eglin Air Force Base. Florida)",2,1,5,30.624900000,-86.572500000,,0.0000,,0.0000,0,0.018896788,0.213157258,64,2017-05-17,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
91,,"Location 20 (Tall Timbers Site 2. Florida)",2,1,5,30.649100000,-84.244400000,,0.0000,,0.0000,0,0.015396586,0.151586882,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
92,,"Location 21 (Tall Timbers Site 3. Florida)",2,1,5,30.658400000,-84.233200000,,0.0000,,0.0000,0,0.011155157,0.209772767,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
93,,"Location 19 (Tall Timbers Site 1. Florida)",2,1,5,30.662600000,-84.243100000,,0.0000,,0.0000,0,0.012087423,0.199961164,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
94,,"Location 23 (Tall Timbers Site 5. Florida)",2,1,5,30.664800000,-84.240200000,,0.0000,,0.0000,0,0.012332700,0.197682046,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
95,,"Location 22 (Tall Timbers Site 4. Florida)",2,1,5,30.671900000,-84.237000000,,0.0000,,0.0000,0,0.013705484,0.214752640,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
96,,"Yatir forest",2,1,13,31.343500000,35.047000000,,0.0000,,0.0000,0,0.015123866,0.481865285,93,2017-12-21,0,,Desert,"2023-10-12 09:43:57",,teatime
97,,Migda,2,1,13,31.352900000,34.594100000,,0.0000,,0.0000,0,0.007914482,0.320038781,92,2017-12-21,0,,Desert,"2023-10-12 09:43:57",,teatime
98,,Lachish,2,1,12,31.523600000,34.869500000,,0.0000,,0.0000,0,0.017690504,0.313666367,85,2017-12-19,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
99,,Adulam,2,2,12,31.649300000,34.976400000,,0.0000,,0.0000,0,0.012776225,0.321857518,91,2017-12-21,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
100,,"Rehovot farm - orchard",2,2,12,31.905800000,34.800400000,,0.0000,,0.0000,0,0.011760562,0.263428906,96,2017-12-28,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
101,,"Rehovot farm - field",2,2,12,31.907700000,34.802200000,,0.0000,,0.0000,0,0.038675703,0.289585205,96,2017-12-28,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
102,,Nes-Ziona,2,1,12,31.933000000,34.788800000,,0.0000,,0.0000,0,0.009800779,0.270693595,96,2017-12-20,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
103,,"Location 18 (Georgia Veteran's State Park. Georgia)",2,1,5,31.955500000,-83.904800000,,0.0000,,0.0000,0,0.013426350,0.196861563,66,2017-05-15,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
104,,"Ramat Hanadiv Park",2,1,12,32.555500000,34.939600000,,0.0000,,0.0000,0,0.015382028,0.338868855,99,2017-12-27,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
105,,Hanaton,2,1,12,32.783600000,35.253600000,,0.0000,,0.0000,0,0.014462987,0.349699225,96,2017-12-27,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
106,,"Location 17 (Oconee National Forest Site1. Georgia)",2,1,4,33.116700000,-83.482600000,,0.0000,,0.0000,0,0.009672745,0.229327601,66,2017-05-15,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
107,,"Location 14 (Savannah River Site3. South Carolina)",2,1,5,33.132200000,-81.655300000,,0.0000,,0.0000,0,0.010369447,0.250329674,96,2017-05-11,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
