id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
52,,PdA LL R4,2,1,12,-26.0108,-70.6076,,0,,0,0,0.004788587,0.524427816,90,6/8/17,0,,Mediterranean woodland,10/12/23 9:43
53,,PdA LL R5,2,1,12,-26.0108,-70.6076,,0,,0,0,0.006282582,0.242010893,90,6/8/17,0,,Mediterranean woodland,10/12/23 9:43
54,,PdA LL R6,2,1,12,-26.0108,-70.6076,,0,,0,0,0.004948443,0.357812885,90,6/8/17,0,,Mediterranean woodland,10/12/23 9:43
55,,PdA PB NF10,2,1,12,-25.9497,-70.6089,,0,,0,0,0,0.924447234,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
56,,PdA PB NF6,2,1,12,-25.9497,-70.6089,,0,,0,0,0.004806987,0.310977008,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
57,,PdA PB NF7,2,1,12,-25.9497,-70.6089,,0,,0,0,0.00393556,0.703213237,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
58,,PdA PB NF8,2,1,12,-25.9497,-70.6089,,0,,0,0,0.001463935,0.436601999,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
59,,PdA PB NF9,2,1,12,-25.9497,-70.6089,,0,,0,0,0.002252752,0.555024977,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
60,,PdA PB SF1,2,1,12,-25.9497,-70.6089,,0,,0,0,0.002424689,0.563434923,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
61,,PdA PB SF2,2,1,12,-25.9497,-70.6089,,0,,0,0,0.001657679,0.51167615,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
62,,PdA PB SF3,2,1,12,-25.9497,-70.6089,,0,,0,0,0.002373002,0.528290921,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
63,,PdA PB SF4,2,1,12,-25.9497,-70.6089,,0,,0,0,0.005169826,0.754880845,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
64,,PdA PB SF5,2,1,12,-25.9497,-70.6089,,0,,0,0,0.002886739,0.521590314,90,6/7/17,0,,Mediterranean woodland,10/12/23 9:43
65,,Ngodwana 1270m,2,2,7,-25.572,30.6659,,0,,0,0,0,0.665362783,91,6/7/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
66,,Ngodwana 1270m,2,2,7,-25.572,30.6659,,0,,0,0,0.012386956,0.665824305,86,9/6/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
67,,Ngodwana 932m,2,2,10,-25.3293,30.3937,,0,,0,0,0.011943594,0.686341496,91,6/7/17,0,,Montane grasslands/shrubs,10/12/23 9:43
68,,Ngodwana 932m,2,2,10,-25.3293,30.3937,,0,,0,0,0.011158433,0.190816202,86,9/6/17,0,,Montane grasslands/shrubs,10/12/23 9:43
69,,Nylsvley,2,1,7,-24.6451,28.6848,,0,,0,0,0.005848915,0.704933972,93,6/6/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
70,,Nylsvley,2,1,7,-24.6451,28.6848,,0,,0,0,0.009038444,0.230797632,86,9/7/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
